"","Player","Team","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Mark-Anthony Kaye","LAFC","CM","1424","0.06","0.00","0.07","0.04","0.07","0.02","0.26"
"","Tomás Martínez","HOU","CM","400","0.02","-0.01","0.10","-0.02","0.13","0.03","0.25"
"","Alejandro Bedoya","PHI","CM","2395","0.02","-0.01","0.07","0.07","0.07","0.02","0.24"
"","Gadi Kinda","SKC","CM","1703","0.02","0.00","0.06","-0.00","0.12","0.04","0.24"
"","Memo Rodríguez","HOU","CM","1710","0.03","0.03","0.05","-0.00","0.07","0.05","0.23"
"","Sacha Kljestan","LAG","CM","846","0.01","-0.01","0.11","0.03","0.04","0.02","0.22"
"","Noble Okello","TOR","CM","29","0.02","-0.01","0.11","0.09","0.01","0.00","0.21"
"","Eric Calvillo","SJE","CM","216","-0.00","0.00","0.10","-0.08","0.16","0.04","0.21"
"","Michael Bradley","TOR","CM","1382","0.04","0.00","0.12","0.02","0.02","0.00","0.20"
"","Amar Sejdic","MTL","CM","865","-0.01","-0.00","0.11","0.01","0.07","0.03","0.20"
"","José Cifuentes","LAFC","CM","1258","0.03","0.00","0.06","0.04","0.06","0.01","0.20"
"","Saphir Taïder","MTL","CM","1154","-0.00","-0.00","0.06","0.06","0.06","0.01","0.19"
"","Jamiro Monteiro","PHI","CM","2515","-0.00","0.01","0.05","0.03","0.08","0.01","0.18"
"","Liam Fraser","TOR","CM","516","0.02","-0.01","0.13","0.04","0.01","-0.00","0.18"
"","Latif Blessing","LAFC","CM","2172","0.02","-0.01","0.08","0.02","0.05","0.02","0.18"
"","Boniek García","HOU","CM","926","0.02","-0.00","0.09","0.01","0.05","0.01","0.16"
"","Michael Baldisimo","VAN","CM","789","-0.02","0.00","0.18","-0.01","0.02","-0.00","0.16"
"","Jackson Yueill","SJE","CM","2353","0.03","-0.00","0.09","0.01","0.03","0.00","0.16"
"","Marco Delgado","TOR","CM","1648","0.02","-0.01","0.07","0.05","0.03","0.00","0.16"
"","Mohammed Abu","DCU","CM","363","0.03","-0.01","0.13","-0.01","0.02","0.00","0.16"
"","Janio Bikel","VAN","CM","1027","-0.00","-0.00","0.15","0.00","0.01","0.00","0.16"
"","Cristian Cásseres Jr","NYRB","CM","1489","0.02","-0.00","0.09","0.02","0.02","0.00","0.15"
"","Roger Espinoza","SKC","CM","1390","0.01","-0.00","0.05","0.01","0.07","0.01","0.15"
"","Darwin Cerén","HOU","CM","1661","-0.01","-0.00","0.13","-0.02","0.03","0.00","0.14"
"","Moses Nyeman","DCU","CM","564","0.02","-0.01","0.14","-0.03","0.02","0.01","0.14"
