"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Michael Bradley","TOR","2019","M","$6,000,000","$6,500,000","2019-09-13"
"","Michael Bradley","TOR","2019","M","$6,000,000","$6,428,571","2019-06-01"
"","Carlos Vela","LAFC","2019","M","$4,500,000","$6,300,000","2019-06-01"
"","Carlos Vela","LAFC","2019","M","$4,500,000","$6,300,000","2019-09-13"
"","Bastian Schweinsteiger","CHI","2019","M","$5,600,000","$5,600,000","2019-09-13"
"","Bastian Schweinsteiger","CHI","2019","M","$5,600,000","$5,600,000","2019-06-01"
"","Ignacio Piatti","MTL","2019","M","$530,000","$4,443,333","2019-09-13"
"","Ignacio Piatti","MTL","2019","M","$530,000","$4,443,333","2019-06-01"
"","Alejandro Pozuelo","TOR","2019","M","$3,800,000","$3,800,000","2019-09-13"
"","Alejandro Pozuelo","TOR","2019","M","$3,800,000","$3,800,000","2019-06-01"
"","Sebastián Blanco","POR","2019","M","$2,740,008","$2,853,341","2019-09-13"
"","Nicolás Lodeiro","SEA","2019","M","$2,000,000","$2,502,500","2019-09-13"
"","Nicolás Lodeiro","SEA","2019","M","$2,000,000","$2,502,500","2019-06-01"
"","Nani","ORL","2019","M","$2,333,333","$2,486,250","2019-06-01"
"","Nani","ORL","2019","M","$2,333,333","$2,486,250","2019-09-13"
"","Diego Valeri","POR","2019","M","$2,320,000","$2,420,000","2019-06-01"
"","Diego Valeri","POR","2019","M","$2,320,000","$2,420,000","2019-09-13"
"","Carles Gil","NER","2019","M","$2,100,000","$2,337,500","2019-06-01"
"","Carles Gil","NER","2019","M","$2,100,000","$2,337,500","2019-09-13"
"","Marco Fabián","PHI","2019","M","$2,000,727","$2,274,087","2019-09-13"
"","Marco Fabián","PHI","2019","M","$2,000,727","$2,274,087","2019-06-01"
"","Nicolás Gaitán","CHI","2019","M","$1,400,004","$2,197,504","2019-06-01"
"","Nicolás Gaitán","CHI","2019","M","$1,400,004","$2,197,504","2019-09-13"
"","Albert Rusnák","RSL","2019","M","$1,800,000","$2,001,667","2019-06-01"
"","Albert Rusnák","RSL","2019","M","$1,800,000","$2,001,667","2019-09-13"
"","Maximiliano Moralez","NYC","2019","M","$2,000,000","$2,000,000","2019-09-13"
"","Jonathan dos Santos","LAG","2019","M","$2,000,000","$2,000,000","2019-09-13"
"","Maximiliano Moralez","NYC","2019","M","$2,000,000","$2,000,000","2019-06-01"
"","Jonathan dos Santos","LAG","2019","M","$2,000,000","$2,000,000","2019-06-01"
"","Romain Alessandrini","LAG","2019","M","$1,610,004","$1,940,004","2019-09-13"
"","Romain Alessandrini","LAG","2019","M","$1,539,996","$1,869,996","2019-06-01"
"","Darwin Quintero","MIN","2019","M","$1,750,000","$1,750,000","2019-09-13"
"","Darwin Quintero","MIN","2019","M","$1,750,000","$1,750,000","2019-06-01"
"","Johnny Russell","SKC","2019","M","$1,700,000","$1,700,000","2019-06-01"
"","Felipe Gutiérrez","SKC","2019","M","$1,600,000","$1,650,000","2019-06-01"
"","Felipe Gutiérrez","SKC","2019","M","$1,600,000","$1,650,000","2019-09-13"
"","Valeri Qazaishvili","SJE","2019","M","$1,475,004","$1,604,042","2019-09-13"
"","Valeri Qazaishvili","SJE","2019","M","$1,475,004","$1,604,042","2019-06-01"
"","Kenny Saief","CIN","2019","M","$1,233,000","$1,511,767","2019-06-01"
"","Johnny Russell","SKC","2019","M","$1,450,000","$1,450,000","2019-09-13"
"","Ezequiel Barco","ATL","2019","M","$1,425,000","$1,425,000","2019-06-01"
"","Ezequiel Barco","ATL","2019","M","$1,425,000","$1,425,000","2019-09-13"
"","Saphir Taïder","MTL","2019","M","$1,400,000","$1,400,000","2019-09-13"
"","Saphir Taïder","MTL","2019","M","$1,400,000","$1,400,000","2019-06-01"
"","Aleksandar Katai","CHI","2019","M","$1,260,000","$1,380,333","2019-09-13"
"","Aleksandar Katai","CHI","2019","M","$1,260,000","$1,380,333","2019-06-01"
"","Sebastián Blanco","POR","2019","M","$1,300,008","$1,375,008","2019-06-01"
"","André Horta","LAFC","2019","M","$1,200,000","$1,277,500","2019-06-01"
"","Brian Fernández","POR","2019","M","$1,200,000","$1,275,800","2019-06-01"
"","Brian Fernández","POR","2019","M","$1,200,000","$1,275,800","2019-09-13"
"","Alejandro Bedoya","PHI","2019","M","$1,200,000","$1,266,250","2019-06-01"
"","Alejandro Bedoya","PHI","2019","M","$1,200,000","$1,266,250","2019-09-13"
"","David Accam","CLB","2019","M","$1,010,004","$1,137,920","2019-06-01"
"","David Accam","CLB","2019","M","$1,010,004","$1,137,920","2019-09-13"
"","Federico Higuaín","CLB","2019","M","$1,100,000","$1,100,000","2019-09-13"
"","Sacha Kljestan","ORL","2019","M","$1,025,000","$1,100,000","2019-09-13"
"","Federico Higuaín","CLB","2019","M","$1,100,000","$1,100,000","2019-06-01"
"","Sacha Kljestan","ORL","2019","M","$1,025,000","$1,100,000","2019-06-01"
"","Víctor Rodríguez","SEA","2019","M","$1,000,000","$1,087,500","2019-06-01"
"","Víctor Rodríguez","SEA","2019","M","$1,000,000","$1,087,500","2019-09-13"
"","Damir Kreilach","RSL","2019","M","$968,769","$1,082,102","2019-06-01"
"","Damir Kreilach","RSL","2019","M","$968,769","$1,082,102","2019-09-13"
"","Mauricio Pereyra","ORL","2019","M","$960,000","$1,078,000","2019-09-13"
"","Diego Rossi","LAFC","2019","M","$1,000,000","$1,052,000","2019-09-13"
"","Diego Rossi","LAFC","2019","M","$1,000,000","$1,052,000","2019-06-01"
"","Robin Lod","MIN","2019","M","$849,996","$952,496","2019-09-13"
"","Alexander Ring","NYC","2019","M","$850,000","$945,000","2019-06-01"
"","Alexander Ring","NYC","2019","M","$850,000","$945,000","2019-09-13"
"","Pity Martínez","ATL","2019","M","$900,000","$900,000","2019-06-01"
"","Pity Martínez","ATL","2019","M","$900,000","$900,000","2019-09-13"
"","Jan Gregus","MIN","2019","M","$750,000","$883,500","2019-06-01"
"","Jan Gregus","MIN","2019","M","$750,000","$883,500","2019-09-13"
"","Jesús Medina","NYC","2019","M","$750,000","$870,833","2019-09-13"
"","Jesús Medina","NYC","2019","M","$750,000","$870,833","2019-06-01"
"","Pedro Santos","CLB","2019","M","$817,560","$864,560","2019-06-01"
"","Pedro Santos","CLB","2019","M","$817,560","$864,560","2019-09-13"
"","Joao Plata","RSL","2019","M","$725,004","$856,254","2019-06-01"
"","Joao Plata","RSL","2019","M","$725,004","$856,254","2019-09-13"
"","Héctor Villalba","ATL","2019","M","$722,500","$830,250","2019-06-01"
"","Héctor Villalba","ATL","2019","M","$722,500","$830,250","2019-09-13"
"","Roland Lamah","CIN","2019","M","$750,000","$806,250","2019-06-01"
"","Roland Lamah","CIN","2019","M","$750,000","$806,250","2019-09-13"
"","Roger Espinoza","SKC","2019","M","$800,000","$800,000","2019-09-13"
"","Roger Espinoza","SKC","2019","M","$800,000","$800,000","2019-06-01"
"","Alejandro Romero Gamarra","NYRB","2019","M","$800,000","$800,000","2019-06-01"
"","Alejandro Romero Gamarra","NYRB","2019","M","$800,000","$800,000","2019-09-13"
"","Emanuel Cecchini","SEA","2019","M","$648,000","$789,000","2019-09-13"
"","Zoltán Stieber","DCU","2019","M","$787,500","$787,500","2019-06-01"
"","Jonathan Osorio","TOR","2019","M","$750,000","$776,250","2019-06-01"
"","Jonathan Osorio","TOR","2019","M","$750,000","$776,250","2019-09-13"
"","Daniel Royer","NYRB","2019","M","$700,000","$768,750","2019-06-01"
"","Daniel Royer","NYRB","2019","M","$700,000","$768,750","2019-09-13"
"","Jon Erice","VAN","2019","M","$654,546","$752,364","2019-06-01"
"","Jon Erice","VAN","2019","M","$654,546","$752,364","2019-09-13"
"","Yohan Croizet","SKC","2019","M","$700,008","$730,008","2019-06-01"
"","Edwin Gyasi","FCD","2019","M","$570,000","$719,225","2019-09-13"
"","Carlos Fierro","SJE","2019","M","$660,000","$718,800","2019-09-13"
"","Josh Sims","NYRB","2019","M","$695,968","$710,468","2019-09-13"
"","Paul Arriola","DCU","2019","M","$675,000","$707,000","2019-06-01"
"","Paul Arriola","DCU","2019","M","$675,000","$707,000","2019-09-13"
"","Luciano Acosta","DCU","2019","M","$600,000","$702,000","2019-06-01"
"","Luciano Acosta","DCU","2019","M","$600,000","$702,000","2019-09-13"
"","Dax McCarty","CHI","2019","M","$700,000","$700,000","2019-09-13"
"","Dax McCarty","CHI","2019","M","$700,000","$700,000","2019-06-01"
"","Justin Meram","ATL","2019","M","$650,004","$678,754","2019-06-01"
"","Justin Meram","ATL","2019","M","$650,004","$678,754","2019-09-13"
"","Jamiro Monteiro","PHI","2019","M","$618,000","$671,200","2019-09-13"
"","Darlington Nagbe","ATL","2019","M","$665,500","$665,500","2019-06-01"
"","Darlington Nagbe","ATL","2019","M","$665,500","$665,500","2019-09-13"
"","Przemyslaw Frankowski","CHI","2019","M","$450,000","$661,688","2019-06-01"
"","Przemyslaw Frankowski","CHI","2019","M","$450,000","$661,688","2019-09-13"
"","Hwang In-Beom","VAN","2019","M","$600,000","$655,000","2019-06-01"
"","Hwang In-Beom","VAN","2019","M","$600,000","$655,000","2019-09-13"
"","Alberth Elis","HOU","2019","M","$650,340","$650,340","2019-06-01"
