"","Player","Team","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Saphir Taïder","MTL","CM","1154","1.58","0.42","0.33","0.32","-0.06","0.02","1.91","0.33","0.21","0.13","0.52","0.19","0.17"
"","Gadi Kinda","SKC","CM","1703","2.20","0.73","0.34","0.31","0.03","0.02","1.58","0.11","0.15","-0.04","0.46","0.17","0.18"
"","Memo Rodríguez","HOU","CM","1710","2.92","0.90","0.28","0.30","0.01","-0.02","1.68","0.11","0.15","-0.03","0.45","0.17","0.19"
"","Jamiro Monteiro","PHI","CM","2515","1.53","0.61","0.15","0.17","-0.01","-0.01","2.06","0.15","0.18","-0.03","0.35","0.06","0.08"
"","Mark-Anthony Kaye","LAFC","CM","1424","1.15","0.27","0.20","0.18","-0.01","0.02","1.62","0.27","0.16","0.11","0.34","0.14","0.07"
"","José Cifuentes","LAFC","CM","1258","2.59","0.76","0.08","0.12","0.03","-0.05","1.91","0.15","0.21","-0.06","0.33","0.01","0.06"
"","Sacha Kljestan","LAG","CM","846","1.48","0.45","0.00","0.16","-0.08","-0.16","1.48","0.00","0.16","-0.16","0.32","0.00","0.07"
"","Alejandro Bedoya","PHI","CM","2395","1.40","0.52","0.12","0.11","0.03","0.01","1.32","0.12","0.19","-0.07","0.30","0.08","0.07"
"","Júnior Urso","ORL","CM","2177","1.59","0.62","0.18","0.18","-0.04","-0.01","0.57","0.09","0.11","-0.02","0.30","0.06","0.11"
"","Roger Espinoza","SKC","CM","1390","2.00","0.76","0.21","0.19","0.01","0.02","1.11","0.07","0.09","-0.02","0.28","0.09","0.08"
"","Eric Calvillo","SJE","CM","216","0.89","0.44","0.00","0.25","-0.21","-0.25","0.89","0.00","0.02","-0.02","0.27","0.00","0.08"
"","Latif Blessing","LAFC","CM","2172","0.88","0.40","0.09","0.15","-0.02","-0.06","1.24","0.09","0.10","-0.01","0.25","0.03","0.06"
"","Amar Sejdic","MTL","CM","873","1.54","0.66","0.22","0.13","-0.02","0.09","0.77","0.00","0.08","-0.08","0.21","0.11","0.07"
"","Tomás Martínez","HOU","CM","400","1.68","0.24","0.00","0.19","-0.17","-0.19","0.24","0.00","0.01","-0.01","0.20","0.00","0.09"
