"","Player","Team","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %"
"","Liam Fraser","TOR","CM","516","70.14","88.3%","84.1%","2.99","4.26","20.45","6.19","4.3%"
"","Michael Bradley","TOR","CM","1382","79.88","90.3%","87.6%","2.19","2.74","18.46","5.12","11.8%"
"","Emerson Hyndman","ATL","CM","1515","51.39","89.5%","86.0%","1.84","3.57","18.99","3.60","7.3%"
"","Noble Okello","TOR","CM","29","26.48","62.5%","56.0%","1.72","6.49","22.43","15.74","2.2%"
"","Patrick Metcalfe","VAN","CM","239","28.52","91.5%","86.1%","1.56","5.46","20.95","0.04","3.0%"
"","Júnior Moreno","DCU","CM","1907","54.47","87.2%","84.8%","1.29","2.38","19.26","4.95","10.5%"
"","Hwang In-Beom","VAN","CM","586","49.97","83.0%","80.7%","1.12","2.24","21.12","4.83","11.5%"
"","Russell Teibert","VAN","CM","1832","38.99","87.6%","84.9%","1.07","2.75","18.96","2.62","7.7%"
"","Jackson Yueill","SJE","CM","2353","60.06","88.3%","86.6%","1.00","1.67","21.07","4.37","10.5%"
"","Sacha Kljestan","LAG","CM","846","51.86","81.4%","79.5%","0.99","1.90","17.25","5.35","7.2%"
"","Saphir Taïder","MTL","CM","1154","60.48","84.3%","82.7%","0.98","1.62","20.58","2.37","12.0%"
"","Matt LaGrassa","NSH","CM","421","43.55","83.3%","81.5%","0.77","1.77","20.08","6.01","4.8%"
"","Latif Blessing","LAFC","CM","2172","50.52","84.3%","82.9%","0.68","1.34","16.11","3.09","9.4%"
"","Carlos Harvey","LAG","CM","135","31.29","86.4%","84.4%","0.60","1.92","19.78","2.10","2.2%"
"","Luis Felipe","SJE","CM","220","40.15","82.6%","81.2%","0.58","1.44","17.97","2.46","3.8%"
"","Jamiro Monteiro","PHI","CM","2515","50.12","80.5%","79.4%","0.56","1.13","21.10","2.96","11.0%"
"","Marco Delgado","TOR","CM","1648","67.63","83.0%","82.3%","0.52","0.77","17.90","5.88","9.5%"
"","Alejandro Bedoya","PHI","CM","2395","49.98","79.8%","78.8%","0.49","0.98","17.26","3.71","10.0%"
"","Júnior Urso","ORL","CM","2177","39.82","87.3%","86.1%","0.47","1.18","18.31","2.28","7.1%"
"","Memo Rodríguez","HOU","CM","1710","35.65","76.4%","75.3%","0.39","1.09","21.15","3.53","6.8%"
"","Mohammed Abu","DCU","CM","363","57.65","86.2%","85.6%","0.35","0.60","17.88","4.53","7.3%"
"","Justin Portillo","RSL","CM","292","48.66","82.4%","81.8%","0.30","0.61","22.77","3.77","7.1%"
"","Mark-Anthony Kaye","LAFC","CM","1424","61.28","82.2%","81.7%","0.29","0.47","18.25","5.30","8.6%"
"","Matheus Rossetto","ATL","CM","861","58.43","87.2%","86.8%","0.26","0.45","19.39","2.12","6.0%"
"","Tomás Martínez","HOU","CM","400","56.16","82.0%","81.6%","0.26","0.46","18.72","4.90","4.5%"
"","Fatai Alashe","CIN","CM","88","19.64","94.4%","93.4%","0.21","1.07","20.89","-3.65","1.8%"
"","Gadi Kinda","SKC","CM","1703","40.87","79.0%","78.6%","0.18","0.45","17.89","3.53","7.4%"
"","Tah Brian Anunga","NSH","CM","1051","45.31","85.9%","85.6%","0.12","0.27","18.22","1.86","6.3%"
"","Felipe","DCU","CM","712","54.88","84.3%","84.2%","0.04","0.08","20.63","4.87","11.1%"
"","Michael Baldisimo","VAN","CM","789","51.83","82.2%","82.5%","-0.18","-0.35","25.28","6.32","7.4%"
"","José Cifuentes","LAFC","CM","1258","54.64","81.4%","81.8%","-0.22","-0.39","18.30","4.39","7.1%"
"","Luis Argudo","MIA","CM","23","41.74","90.0%","90.7%","-0.27","-0.66","15.06","-0.95","2.9%"
"","Darwin Cerén","HOU","CM","1661","47.34","83.8%","84.4%","-0.30","-0.62","20.64","4.16","8.3%"
"","Leonard Owusu","VAN","CM","1546","35.08","85.3%","86.4%","-0.38","-1.09","21.24","3.06","6.6%"
"","Cristian Cásseres Jr","NYRB","CM","1489","45.39","76.8%","77.7%","-0.41","-0.90","16.62","6.49","8.5%"
"","Sean Davis","NYRB","CM","1257","53.84","77.2%","78.0%","-0.44","-0.82","16.99","6.66","9.6%"
"","Felipe Hernandez","SKC","CM","953","21.96","75.2%","77.3%","-0.44","-2.02","18.80","5.14","2.8%"
"","Roger Espinoza","SKC","CM","1390","37.85","79.0%","80.4%","-0.51","-1.34","20.08","3.94","5.9%"
"","Frankie Amaya","CIN","CM","1943","46.44","86.4%","87.5%","-0.53","-1.14","21.31","1.70","8.8%"
"","Francisco Ginella","LAFC","CM","1345","57.03","82.1%","83.0%","-0.54","-0.94","17.42","4.64","5.3%"
"","Luka Stojanovic","CHI","CM","73","22.36","88.2%","90.9%","-0.59","-2.63","15.85","-1.02","3.1%"
"","Joey Dezart","ORL","CM","461","41.86","83.6%","85.0%","-0.60","-1.43","19.75","2.38","3.6%"
"","Janio Bikel","VAN","CM","1027","37.11","83.1%","84.8%","-0.61","-1.65","19.09","5.09","7.8%"
"","Samuel Piette","MTL","CM","2206","40.78","80.5%","82.0%","-0.63","-1.55","19.35","4.12","8.4%"
"","Cameron Duke","SKC","CM","275","20.60","74.6%","77.7%","-0.65","-3.14","14.22","1.91","2.2%"
"","Boniek García","HOU","CM","926","40.02","81.9%","83.5%","-0.65","-1.62","17.92","4.74","4.7%"
"","Eric Calvillo","SJE","CM","216","44.89","84.2%","86.1%","-0.88","-1.96","21.44","1.31","2.9%"
